###ÄNSI###
EVTDESC_mariavite_1;You are about to begin Eucharistic Adoration, one of the most important devotional acts in your religion. But before you do so, you must decide whether you will follow the traditional prayer rubrics or, guided by the writings of the Mariavite mystics, allow yourself to improvise during prayer.;;;;;;;;;;;;;x
EVTOPTA_mariavite_1;Traditional formula of prayers is the best for me;;;;;;;;;;;;;x
EVTOPTB_mariavite_1;It is time to pray in mystical way;;;;;;;;;;;;;x
EVTDESC_mariavite_2;You spend Eucharistic adoration in long prayers, beautifully composed and edited by bishops and priests, enriching it. As you leave the chapel, you greet the Blessed Sacrament with the feeling that you have spent adoration well.;;;;;;;;;;;;;x
EVTOPTA_mariavite_2;Thank you God;;;;;;;;;;;;;x
EVTDESC_mariavite_3;You spend hour in adoration reciting formal formulas, and when you finish, you feel you've wasted your time. Instead of living prayer, God has witnessed only your dry, forced, and boring prayer, formal and devoid of spirit. You greet the Blessed Sacrament and leave a chapel.;;;;;;;;;;;;;x
EVTOPTA_mariavite_3;Oh no!;;;;;;;;;;;;;x
EVTDESC_mariavite_4;After hour of adoration, using creative formulas drawn from your mind and the memorized teachings of the mystics, you feel that it all makes no sense, that it's more emotional than truly pious, that it was merely poor religious poetry, and that you could have done better. You feel you've wasted your time, so you greet the Blessed Sacrament and leave the chapel.;;;;;;;;;;;;;x
EVTOPTA_mariavite_4;Forgive me Lord!;;;;;;;;;;;;;x
EVTDESC_mariavite_5;During mystical prayer before the Blessed Sacrament, you fall into a strange trance, and your thoughts are clouded by evil. After a few hours, you feel terrified by this prayer, and various heresies, not sound doctrine, begin to pass through your mind. So you end your adoration and, after greeting the Blessed Sacrament, leave the chapel.;;;;;;;;;;;;;x
EVTOPTA_mariavite_5;Weird thing...;;;;;;;;;;;;;x
EVTDESC_mariavite_6;After hour of Eucharistic adoration, you feel spiritual. Mystical prayer has enlivened your heart and made you peaceful. At the end of adoration, you emotionally thank God for this time, greet the Blessed Sacrament, and leave the chapel peacefully.;;;;;;;;;;;;;x
EVTOPTA_mariavite_6;I adore you Christ!;;;;;;;;;;;;;x
EVTDESC_mariavite_7;You spend many moments before the Blessed Sacrament. Suddenly, though you're not certain, you feel as if you're seeing Christ and hearing his voice, commanding you to liberate a certain country from the rule of the infidels and sow his teachings there. When you emerge from this trance, you feel as if God has spoken to you, you rise, greet the Blessed Sacrament, and leave with a sense of mission.;;;;;;;;;;;;;x
