1501000={
	name="Ceannaidh"
	dynasty=15001000 #O'Fearghail
	culture=irish
	religion=catholic
	martial=5
	diplomacy=4
	stewardship=4
	intrigue=5
	learning=5
	trait=skilled_tactician 
	trait=weak
	trait=quick
	trait=erudite
	trait=gluttonous
	trait=wroth
	trait=humble
	trait=diligent
	trait=gregarious
	2641.1.25={birth=yes}
	2710.4.1={death=yes}
}
1501001={
	name="Nicholas"
	dynasty=1783059 
	culture=yankee
	religion=free_church
	martial=7
	diplomacy=5
	stewardship=4
	intrigue=2
	learning=4
	trait=tough_soldier
	trait=erudite
	trait=brawny
	trait=kind
	trait=just
	trait=honest
	trait=trusting
	2621.3.12={birth=yes}
	2664.1.10={death=yes}
}
1501002={
	name="Marshal"
	dynasty=1200000
	culture=manx
	religion=free_church
	martial=6
	diplomacy=5
	stewardship=2
	intrigue=4
	learning=4
	trait=skilled_tactician
	trait=erudite
	trait=cruel
	trait=paranoid
	trait=deceitful
	2620.4.2={birth=yes}
	2666.1.5={death=yes}
}
1501003={
	name="Isabella"
	dynasty=1783059
	culture=manx
	female=yes
	religion=free_church
	martial=6
	diplomacy=5
	stewardship=6
	intrigue=4
	learning=4
	trait=charismatic_negotiator
	trait=erudite
	trait=kind
	trait=just
	trait=honest
	2648.3.12={birth=yes}
	2721.1.14={death=yes}
}
1501004={
	name="Conor"
	dynasty=1200001 #Broekhart
	culture=manx
	religion=free_church
	martial=7
	diplomacy=3
	intrigue=7
	stewardship=3
	learning=5
	health=8
	trait=brilliant_strategist
	trait=duelist
	trait=brawny
	trait=just
	trait=humble
	trait=brave
	trait=diligent
	trait=cynical
	trait=depressed
	2648.5.1={birth=yes}
	2665.10.2={give_nickname=nick_the_airman}
	2721.1.14={death=yes}
}
1501005={
	name="Fiachra"
	dynasty=15001001 #Li
	culture=irish
	religion=catholic
	martial=4
	diplomacy=8
	stewardship=6
	intrigue=2
	learning=9
	trait=charismatic_negotiator
	trait=diligent
	trait=patient
	trait=proud
	trait=lustful
	trait=poet
	father=1501036
	2633.5.13={birth=yes}
	2710.4.1={death=yes}
}
1501006={
	name="Micháel"
	dynasty=15001002 #Thaili-Raith
	culture=irish
	religion=catholic
	martial=5
	diplomacy=8
	stewardship=8
	intrigue=4
	learning=3
	trait=fortune_builder
	trait=lunatic
	trait=drunkard
	trait=uncouth
	trait=gluttonous
	trait=proud
	2613.1.9={birth=yes}
	2710.4.1={death=yes}
}
1501007={
	name="William"
	dynasty=15001003 #O'Dea
	culture=irish
	religion=catholic
	martial=4
	diplomacy=2
	stewardship=3
	intrigue=1
	learning=3
	trait=naive_appeaser
	trait=dull
	trait=craven
	trait=trusting
	trait=diligent
	2599.11.1={birth=yes}
	2710.4.1={death=yes}
}
1501008={
	name="Leonard"
	dynasty=15001004 #Branain
	culture=irish
	religion=catholic
	martial=4
	diplomacy=8
	stewardship=5
	intrigue=11
	learning=9
	trait=dutiful_cleric
	trait=arbitrary
	trait=cynical
	trait=wroth
	trait=greedy
	trait=lustful
	2606.4.17={birth=yes}
	2710.4.1={death=yes}
}
1501009={
	name="Liam"
	dynasty=15001005 #Ward
	culture=pavee
	religion=catholic
	martial=10
	diplomacy=8
	stewardship=4
	intrigue=6
	learning=3
	trait=skilled_tactician
	trait=peasant_leader
	trait=brawny
	trait=diligent
	trait=patient
	trait=humble
	trait=ambitious
	trait=brave
	trait=cavalry_leader
	trait=duelist
	trait=ruthless
	father=1501049
	mother=1501050
	2637.8.9={birth=yes}
	2710.4.1={death=yes}
}
1501010={
	name="Billy"
	dynasty=1607000 #Morrison
	culture=norner
	religion=calvinist
	martial=7
	diplomacy=4
	stewardship=6
	intrigue=3
	learning=1
	trait=fat
	trait=tough_soldier
	trait=freckles_3
	trait=dull
	trait=gluttonous
	trait=wroth
	trait=proud
	trait=cruel
	trait=stubborn
	trait=zealous
	trait=rude
	trait=familyperson
	father=1501047
	mother=1501048
	2626.3.17={birth=yes}
	2710.4.1={death=yes}
}
1501011={
	name="Fionn"
	dynasty=15001007 #Murray
	culture=irish
	religion=catholic
	martial=10
	diplomacy=8
	stewardship=4
	intrigue=5
	learning=3
	trait=skilled_tactician
	trait=aggressive_leader 
	trait=adventurer
	trait=kinslayer
	trait=strong
	trait=duelist
	trait=brave
	trait=wroth
	trait=arbitrary
	trait=lustful
	2640.3.12={birth=yes}
	2700.3.2={death=yes}
}
1501012={
	name="Diarmund"
	dynasty=15001011 #O Fathaigh
	culture=irish
	religion=catholic
	martial=6
	diplomacy=5
	stewardship=4
	intrigue=3
	learning=4
	trait=skilled_tactician
	trait=strong
	trait=proud
	trait=brave
	trait=trusting
	2640.8.3={birth=yes}
	2670.3.10={death=yes}
}
1501013={
	name="Oisín"
	dynasty=15001008 #Chulainn
	culture=irish
	religion=catholic
	martial=5
	diplomacy=5
	stewardship=4
	intrigue=3
	learning=4
	trait=dutiful_cleric
	trait=strong
	trait=brawny
	trait=erudite
	trait=scholar
	trait=patient
	trait=diligent
	2610.12.13={birth=yes}
	2690.2.14={death=yes}
}
1501014={
	name="Tyson"
	dynasty=15001005 #Ward
	culture=pavee
	religion=catholic
	martial=9
	diplomacy=5
	stewardship=5
	intrigue=6
	learning=4
	trait=skilled_tactician
	trait=scarred
	trait=lustful
	trait=proud
	trait=ambitious
	trait=cavalry_leader
	father=1501049
	mother=1501050
	2630.5.2={birth=yes}
	2670.3.10={death=yes}
}
1501015={
 	name="Richard"
 	dynasty=15001009 #Tanuir
 	culture=irish
 	religion=catholic
 	martial=4
 	diplomacy=6
 	stewardship=6
 	intrigue=5
 	learning=4
 	trait=detached_priest
 	trait=diligent
 	trait=honest
 	trait=kind
 	trait=gregarious
 	2600.4.17={birth=yes}
 	2670.1.7={death=yes}
}
1501016={
	name="Brendan"
	dynasty=15001010 #Murray
	culture=irish
	religion=catholic
	martial=4
	diplomacy=6
	stewardship=8
	intrigue=4
	learning=5
	trait=fortune_builder
	trait=lustful
	trait=ambitious
	trait=wroth
	trait=craven
	2615.8.6={birth=yes}
	2711.7.7={death=yes}
}
1501017={
	name="Shane"
	dynasty=15001011 #O Fathaigh
	culture=irish
	religion=catholic
	martial=5
	diplomacy=5
	stewardship=5
	intrigue=5
	learning=7
	trait=mastermind_theologian
	trait=mystic
	trait=humble
	trait=kind
	trait=content
	trait=gardener
	trait=gregarious
	2633.7.14={birth=yes}
	2680.1.1={death=yes}
}
1501018={
	name="Ciarán"
	dynasty=15001012 #Burke
	culture=irish
	religion=catholic
	martial=8
	diplomacy=6
	stewardship=5
	intrigue=7
	learning=6
	trait=tough_soldier
	trait=sturdy
	trait=wroth
	trait=scarred
	trait=strong
	trait=proud
	trait=temperate
	trait=ambitious
	trait=brave
	trait=cruel
	trait=arbitrary
	2622.5.24={birth=yes}
	2680.1.1={death=yes}
}
1501019={
	name="Eala"
	dynasty=15001013 #Fitzgerald
	culture=irish
	religion=catholic
	martial=5
	diplomacy=5
	intrigue=5
	stewardship=5
	learning=5
	trait=lustful
	trait=tough_soldier
	trait=scarred
	2641.8.3={birth=yes}
