#CODE;ENGLISH;;;;;;;;;;;;;x
#####ATE ISLAM EVENTS#####
### ATE EURASIAN COURTIERS ###
EVTDESC_islamate1;An Islamic poet, in search of a new host, has showed up at your court. His time spent among the courts of France has gifted him with court knowledge, and by all accounts he is skilled with words. We may have use of him.;;;;;;;;;;;;;x
EVTDESC_islamate2;An Islamic steward, in search of a new host, has showed up at your court. Well versed in the way of coin from his time in Bordeaux, there is no denying his administrative capability. He would make a fine steward.;;;;;;;;;;;;;x
EVTDESC_islamate3;An Islamic scholar, fleeing persecution elsewhere near France, has showed up at your court. His time spent abroad in the libraries of the ancient university have made him a great and wise teacher.;;;;;;;;;;;;;x
EVTDESC_islamate4;An Islamic courtier, fleeing persecution elsewhere near France, has showed up at your court. He seems to know a lot about you, even things that you do not necessarily want others to know, which is impressive for a man you have never met. We may have use of him.;;;;;;;;;;;;;x
EVTDESC_islamate5;An Islamic musician, in search of a new host, has showed up at your court. Combining the famous melodies of the France with traditional Islamic nasheeds, his music is unlike anything you have ever heard before. We may have use of him.;;;;;;;;;;;;;x
EVTDESC_islamate6;An Islamic courtier, fleeing persecution elsewhere near France, has showed up at your court. His time spent treating and caring for his community has earned him a respectable career as a physician among his community.;;;;;;;;;;;;;x
EVTDESC_islamate7;An Islamic general, in search of a new host, has showed up at your court. Providing to you a valuable insight to the ancient Regiment Trainings of the the ancient Jannisary Order.;;;;;;;;;;;;;x
muslim_courtier_tooltip;A Muslim Courtier of much talent joins you...;;;;;;;;;;;;;x
EVTDESC_islamate8;An Islamic physician, in search of a new host, has showed up at your court. He is well versed in Islamic theories of medicine, but his community has expelled him for reasons he refuses to elaborate on. We may have use of him.;;;;;;;;;;;;;x
### NAQSHBANDI JIHAD EVENT ###
EVTNAME39670;The Naqshbandi Jihads;;;;;;;;;;;;;x
EVTDESC39670;After much discussion and debate by the ulama, his Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] has been conviced that it is time to declare another era of great conquests, as in the days of the first Caliphs. The Dar al-Islam must grow again. All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTDESC39671;The Holy city of Istanbul, where the great Sultans ruled the Sublime State of old, has fallen to infidels! His Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] will not let this stand, and has declared that another era of great conquests is upon us, as in the days of the first Caliphs. The Dar al-Islam must be defended! All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTDESC39673;A mighty empire has arisen in Anatolia, as was in the days of old. In light of these fortunate tidings, his Magnificence, [d_naqshbandi.Holder.GetTitledFirstName] has been conviced that it is time to declare another era of great conquests, as in the days of the first Caliphs. The Dar al-Islam must grow again. All righteous Naqshbandi men should prepare to join the ranks of the ghazi for the upcoming struggles. This signals a new era of Naqshbandi expansion.;;;;;;;;;;;;;x
EVTOPTA39670;Allahu Akbar!;;;;;;;;;;;;;x
EVTOPTB39670;Interesting..;;;;;;;;;;;;;x
EVTOPTC39670;Blasted Heathens!;;;;;;;;;;;;;x

### SUNNI MUSLIM EVENTS ###;;;;;;;;;;;;;;
EVTNAME_islamate32;A Unified Front;;;;;;;;;;;;;x
EVTDESC_islamate32;With the core of the Islamic world firmly under your control, and the representatives of the various Sunni movements formed after the time of the Disaster at your table, you begin. You give a long argument why the world fell into the chaos it did - largely in part because there was no defender of the faith - and make a passionate plea that, together, the Sunni faithful would survive better than divided by innovations and beset by polytheists, idolaters, and those who do not worship God. Slowly, the council turns in your favor, the Grand Mufti nods in agreements first, and reccomends you take the mantle of Caliph. By the end of the meeting, a landmark event has happened, as most of the Sunni faithful now recognize the unity of the People of the Prophet's Tradition once more.;;;;;;;;;;;;;x

### HAJJ REWRITEN EVENT ###
EVTTITLE_HAJJ;Performing the Hajj;;;;;;;;;;;;;x
hajj90indian;A long journey indeed...;;;;;;;;;;;;;x
EVTDESC_hajj201;Every Pious Muslim must at least complete the Hajj to the Great City of [c_mecca.GetName] once in the thier life. Home to the myriad of important activities whose traditions have existed since the ancient times before the Event. As you embark on this journey, you can't help but watch your home fade into the distance, stately matters can wait, for you are have higher things to attend to.;;;;;;;;;;;;;x
EVTTITLE_HAJJ;Performing the Hajj;;;;;;;;;;;;;x
EVTTITLE_IHRAM;Donning an Ihram;;;;;;;;;;;;;x
EVTTITLE_TAWAF;Tawaf around the Kaaba;;;;;;;;;;;;;x
EVTTITLE_SAI;Seeking Sa'i;;;;;;;;;;;;;x
EVTTITLE_WUQUF;Wuquf on Jabal Arafat;;;;;;;;;;;;;x
EVTTITLE_RAMY_ALJAMARAT;Ramy al-Jamarat;;;;;;;;;;;;;x
EVTTITLE_EID_ALADHA;Eid al-Adha;;;;;;;;;;;;;x
EVTTITLE_HAJJ_HOME;Completion of the Hajj;;;;;;;;;;;;;x

EVTTITLE_TROUBLE_AHMADI;A Small Barrier;;;;;;;;;;;;;x
HAJJ97DESC;As you approach the hallowed cities of [c_mecca.GetName] and [c_medina.GetName], the representative of the Amir al-Hajj acting for the local rulers are typically seen as a standard practice for the protection of the Hajj for all Muslims, though on this occassion the guards turn to you to exclaiming "My brother, you appear to be from a distant land, I have but one request for you...", you look around the crowd before turning to the representative, "...an affirmation that the Prophet, bless be upon him, recieved the final revelation.";;;;;;;;;;;;;x
HAJJOPTA_97;You retort that Ahmad is the Madhi...;;;;;;;;;;;;;x
HAJJOPTA_97_TT;You hold true to belief but this act has greatly displeased the representative...;;;;;;;;;;;;;x
HAJJOPTB_97;"Brother, indeed bless be upon him";;;;;;;;;;;;;x
HAJJOPTB_97_TT;You conceal you belief hoping you sound genuine enough to the representative...;;;;;;;;;;;;;x
HAJJOPTC_97;Give your Affirmation and be on your way...;;;;;;;;;;;;;x

EVTTITLE_HAJJ_FORCED_HOME;An Abrupt End...;;;;;;;;;;;;;x
HAJJ98DESC;You were quickly escorted out of the trail by the guards as you were sent packing back whence you came. A disappointment that you weren't able to fully experience the Hajj but perhaps its just part of life, true to faith you only wish your fellow brothers could see it...;;;;;;;;;;;;;x
HAJJ98OPTA;Steady my heart, a lost yearning unanswered.;;;;;;;;;;;;;x

### ZIYARA EVENT ###
EVTTITLE_ZIYARA;A Trip to the Shrines;;;;;;;;;;;;;x
EVTDESC_hajj200;The Islamic World is a wide and diverse place. Having a rich history of blessed shrines, mosque and other features that can be just as important as the conducting the Hajj to [c_mecca.GetName]. Whether it be for shrines of the Walis or the dedications to the Prophet Muhammad, his family and companions, as a pious Muslim you may visit these blessed places anytime...;;;;;;;;;;;;;x
EVTOPTA_ZIYARA_ALAQSA;To the City of Yusuf and Musa, I go!;;;;;;;;;;;;;x
EVTOPTB_ZIYARA_ALBAQI;To the Blessed City of the Prophet, I go!;;;;;;;;;;;;;x
EVTOPTC_ZIYARA_UMAYYAD_MOSQUE;To the City of the Martyrs, I go!;;;;;;;;;;;;;x
EVTOPTD_ZIYARA_ROZ_BAL;To a proud Ghazi resting place, I go!;;;;;;;;;;;;;x

EVTDESC_hajjtoalaqsa;Whilst Mecca and Medina hold great religious significance to all pious Muslims, there are plenty of other sites to visit. Al-Aqsa is particularly for its location in the city of al-Quds, the Holy city of Yusuf and Musa.;;;;;;;;;;;;;x
EVTDESC_hajjtoalbaqi;Whilst Mecca may be the more blessed city, there are plenty of other sites to visit. Such as the City of the Prophet, Al Madinah and the resting place of his companions and family, Al-Baqi'.;;;;;;;;;;;;;x
EVTDESC_hajjtoumayyadmosque;Whilst Mecca and Medina hold the greatest religious significance to all Muslims, there are plenty of other sites to visit. For the faithful of Ahlus-Sunnah, the Great Mosque of Damascus built by the Umayyad Caliphs is one such site.;;;;;;;;;;;;;x
EVTDESC_hajjtorozabal;Whilst Mecca and Medina hold the greatest religious significance to all Muslims, there are plenty of other sites to visit. For the faithful who reside in the Subcontinent, the sublime Tomb of Rozabal is one such site.;;;;;;;;;;;;;x
EVTOPT_hajjtocity;All are equal in front of God!;;;;;;;;;;;;;x

EVTTITLE_HAJJALAQSA;A Blessed Trip to al-Quds;;;;;;;;;;;;;x
