###ÄNSI,,,
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,
,,,
#Toldi Blood,,,
toldi_blood;Toldi Blood;;;;;;;;;;;;;x,,,
toldi_blood_desc;The ancient bloodline that has ruled the Visegrad Empire ever since Árpád the Conqueror united it, and which traces back its origins to the legendary warrior Toldi Miklós.;;;;;;;;;;;;;x,,
,,,
#Blood of the White Mare,,,
feherlofi_blood;Blood of the White Mare;;;;;;;;;;;;;x,,,
feherlofi_blood_desc;A great, gifted warrior, thought to be a descendant of the divine White Mare herself.;;;;;;;;;;;;;x,
,,,
#Blood of the Hetman Skoropadsky,,,
skoropadsky_blood;Blood of the Immortal Hetman;;;;;;;;;;;;;x,,,
skoropadsky_blood_desc;This character is considered a descendant of the Cossack Hetman Ivan Petr Skoropadsky, an immortal Hetman distinguished from others by Gospodar, who, according to Cossack beliefs, lived by God's grace for several centuries and led the Cossack Sich, ending his life in martyrdom at the hands of the Hungarian king.;;;;;;;;;;;;;x,
kozachina_opinion;Kozachina Opinion;;;;;;;;;;;;;x,,,
angelchina_opinion;Angelchina Opinion;;;;;;;;;;;;;x,,,
,,,
#Blood of Napoléon,,,
napoleon_bloodline;Immortal Blood of Napoléon Bonaparte;;;;;;;;;;;;;x,,,
napoleon_bloodline_desc;One of the greatest commanders in all of the World's history, the Corsican quickly rose along the military ranks to become Emperor of the French from 1804 until 1814, and again in 1815. Napoleon dominated European and global affairs for more than a decade while leading France against a series of coalitions in the Napoleonic Wars. He won most of these wars and the vast majority of his battles, building a large empire that ruled over continental Europe before its final collapse in 1815.;;;;;;;;;;;;;x
,,,
#Reforged United Kingdom Bloodline,,,
glorian_king;The Imperial Blood of Gloria;;;;;;;;;;;;;x,,,
glorian_queen;The Imperial Blood of Gloria;;;;;;;;;;;;;x,,,
bloodline_desc_glorian;A true heir to the vacant throne has been declared they and their offspring are considered by all to be the rightful heir to Albion and the Empire that Never Sets, The United Kingdom!;;;;;;;;;;;;;x,,
,,,
#Blood of Konstantin I
first_king_of_bulgaria_blood;Blood of Konstantin I Liberator;;;;;;;;;;;;;x
first_king_of_bulgaria_blood_desc;This character is a descendant of the Tsar of Bulgaria - Konstantin I the Liberator, who at the end of the 25th century liberated Bulgaria from Turkish tyranny and became the first post-event Tsar of Bulgaria.;;;;;;;;;;;;;x
,,,
#Blood of Le Bon Chevalier
le_bon_chevalier;Blood of Le Bon Chevalier;;;;;;;;;;;;;x
le_bon_chevalier_desc;This character is a descendant of Le Bon Chevalier: a Basque folk hero and one of Louis Laflamme's closest companions until he declared himself the successor of Christ himself. At that time, Le Bon Chevalier departed with half of his knights and liberated the Basque country from the rule of King Aimar, who had likely murdered his father several years earlier and married the new Basque queen, becoming the ancestor of a new ruling family in the former Kingdom of Navarre.;;;;;;;;;;;;;x
###########Folketro Bloodline Localization###########,,,
,,,
#Snow Queen,,,
snow_queen;Blood of the Snow Queen;;;;;;;;;;;;;x,,,
snow_queen_desc;A legendary sorceror-queen of old whose sons would go on to found mighty kingdoms. Many of the noble clans of Scandinavia therefore claim descent from her.;;;;;;;;;;;;;x,,,
,,,
bloodline_effect_mystic;Characters tend to be §Gmystics§;;;;;;;;;x,,,
danish_opinion;Danish Opinion;;;;;;;;;;;;;x,,,
folketro_opinion;Folketro Opinion;;;;;;;;;;;;;x,,,
fornsed_opinion;Forn Sed Opinion;;;;;;;;;;;;;x,,,
nysed_opinion;Ny Sed Opinion;;;;;;;;;;;;;x,,,
,,,
#Sønderborg,,,
sonderborg;Sønderborg Blood;;;;;;;;;;;;;x,,,
sonderborg_desc;The first Folketro king of Denmark who for a time broke the hegemony of the Lutheran lords there.;;;;;;;;;;;;;x,,,
,,,
###########Turkish Bloodline Localization###########,,,
,,,
#Blood of the Türkkan Ghazis,,,
demetrios_ghazi_bloodline;Blood of the Türkkan Ghazis;;;;;;;;;;;;;x,,,
demetrios_ghazi_bloodline_desc;The Kypriot founders of the Turkish empire, whose rule benefited to all faiths of the Empire alike.;;;;;;;;;;;;;x,,
,,,
#Blood of Furkan Sarikaya,,,
sarikaya_bloodline;Blood of Furkan Sarikaya;;;;;;;;;;;;;x,,,
sarikaya_bloodline_desc;Furkan Sarikaya was the faithful general of Demetrios Ghazi, whose descendants ruled ably over Karadeniz for centuries and even held the imperial throne of Turkey at one point.;;;;;;;;;;;;;x,,
,,,
#Blood of the Türkkan Ghazis,,,
demetrios_ghazi_bloodline;Blood of the Türkkan Ghazis;;;;;;;;;;;;;x,,,
demetrios_ghazi_bloodline_desc;The Kypriot founders of the Turkish empire, whose rule benefited to all faiths of the Empire alike.;;;;;;;;;;;;;x,,
,,,
###########Persian Bloodline Localization###########,,,
,,,
#Blood of Ferhad the Liberator,,,
torkashvand_bloodline;Blood of Ferhad the Liberator;;;;;;;;;;;;;x,,,
torkashvand_bloodline_desc;House Torkashvand claims descent from Ferhad Torkashvand, legendary liberator of Kermanshah and a reputed mazhariyyat of the current epoch.;;;;;;;;;;;;;x,,
bloodline_effect_giant;Characters tend to become §GGiants§!;;;;;;;;;x,,,
,,,
###########Arabian Bloodline Localization###########,,,
#Blood of Al Saud,,,
al_saud_bloodline;Blood of Al Saud;;;;;;;;;;;;;x,,,
al_saud_bloodline_desc;The House of Saud descend from Muhammad bin Saud, founder of the First Saudi State, a mighty kingdom that stretched from Hejaz to Bahrain, and from Syria to Oman.;;;;;;;;;;;;;x
,,,
###########Baltics Bloodline Localization###########,,,
#Blood of Visvaldis,,,
visvaldis_bloodline;Blood of Visvaldis;;;;;;;;;;;;;x,,,
visvaldis_bloodline_desc;Matiss (Visvaldis) Lacplesis brought the Baltics together into a common realm. His empire would be ruled by his progeny for over a century, which is still recalled by many as a golden era for both the Baltics and Christendom.;;;;;;;;;;;;;x,,,
