###########Major Era Bookmark###########
BM_THE_FAR_EAST;The Far East;;;;;;;;;;;;;x
BM_THE_FAR_EAST_DESC;In the throes of The Event, the Mighty Dragon of the East, the illustrious Middle Kingdom of China was turnt tumult in the cacophony of unrest which left the periphery of its mighty reach to extend their designs across the Western Regions. From high above in Himalayas, kingdom across the peaks and valleys via for influence over the golden urn, as holy representatives of the Lamas of old dispute long and bitterly over who holds the center in the great mandala of Dharma Lords. While in the Valley of the Tarim as great Oasis Kingdoms form the sinews between the East and West of the Old Continent tempered only by the stampede of great horse lords who sally forth from their plain homes in the name of the Eternal Khan or the sword of the flaming prophet.;;;;;;;;;;;;;x

BM_THE_SUBCONTIENT;The Subcontinent;;;;;;;;;;;;;x
BM_THE_SUBCONTIENT_DESC;The Indian Subcontinent, home to a multitude of peoples and beliefs that stretch to the misty era of myths and legends. The peoples of these lands have seen great conquerers, sage-kings and peacemakers leave marks that ripple across time. Even after The Event not much has change about that song and dance. In the centuries prior the Mighty Empires like that of Khalasa and the Deccan fought great wars that rock the heart of the continent only to leave but the echoes of that conflict upon the still surface of the reflective surface of one's soul. For that soul there are many communities and paths to walk for in the waning years of your youth as the blade grows heavy will you find the answers you seek in the hymns of Old. A hidden truth that might be the necessary change that will leave a raging tide in your wake.;;;;;;;;;;;;;x

BM_THE_MUSLIM_WORLD;The Muslim World;;;;;;;;;;;;;x
BM_THE_MUSLIM_WORLD_DESC;Long ago, The heart of the Jamaah al-Islam was forged not only the blade but the wise rule of the Caliphs of Old. Though that glorious era has long since passed to the descendants of those that heeded the word of the Prophet (PBUH) have carried the Quran through the tumult of The Event itself. In this new era of chaos where the Ghazi warriors fight for what they see as just, others seek answer with the divine be they Christians, Jews or others that believe in the glory and light of his many names. In the temporal realm leaders navigate the intrigue of the court just as much as those fought in the field vying to be the center of world's attention in the eras to come.;;;;;;;;;;;;;x

BM_EASTERN_EUROPE;Eastern Europe;;;;;;;;;;;;;x
BM_EASTERN_EUROPE_DESC;Eastern Europe and Russia;;;;;;;;;;;;;x

BM_WESTERN_EUROPE;Western Europe;;;;;;;;;;;;;x
BM_WESTERN_EUROPE_DESC;Long has the days of Empire and Glory been the stuff of legends myths and folklore for the peoples of the Old Continent. Waning in its years the Mighty Empire of Europa once claimed dominion over all of the continent as a symbol of the ancient promise of Liberty and Fraternity, a community for all that basked in the untold peace it brought. The Old Order while weak still hold to the keys to power be it the Emperor in Brussels or the Pope in Rome, change seems to be in the air again having once been but murmurs in the dark corners of society a glorious revolution will be the spring glow to revitalize the stagnancy that has griped the land.;;;;;;;;;;;;;x

####################

ERA_CHAR_NAME_1958000;Hendrik Coudenhove;;;;;;;;;;;;;x
ERA_CHAR_INFO_1958000;A young ruler elected from one of Europa's many prominent families, Hendrik is eager to prove himself and guide the empire to prosperity. However, keeping his throne is dependant on appeasing and curtailing the powerful vassals who are always at risk of plunging Europa into civil war, having done so multiple times. With enemies within and without, Henrik must play a balancing act lest he lose everything.;;;;;;;;;;;;;x

ERA_CHAR_NAME_1001027;Edwin FitzSpatstone;;;;;;;;;;;;;x
ERA_CHAR_INFO_1001027;Great Britain managed to re-assemble itself in the 25th century under Thelema conquerors, though the current Kingdom of Britain is now ruled by the Glorian-adhering FitzSpatstones. Prince Edwin is faced with a divided Britannia, as the Scottish and the Irish fervently maintain their independence while the ancient capital of London is held by a vassal republic that took it by force. With heartland Britain religiously and culturally divided, Edwin must overcome adversity for Britain to once again rule the waves.;;;;;;;;;;;;;x

ERA_CHAR_NAME_1805000;Steffen Stromer;;;;;;;;;;;;;x
ERA_CHAR_INFO_1805000;Bavaria stands as Catholicism's northern bulwark, ever a mighty kingdom intended to rival and curtail heathen Europa. However, the young King Steffen has increasingly found his relationship with the Vatican to be tenuous, being an openly gay cynic who is more concerned with architectural projects than his pious duty. Despite this, Steffen is also an ambitious man who may find benefit to staying in the Papacy's good graces, were he to expand further into Germany.;;;;;;;;;;;;;x

ERA_CHAR_NAME_1804032;Georges Colonna-Walewski;;;;;;;;;;;;;x
ERA_CHAR_INFO_1804032;Few cities are as heavily contested in Europe as Paris, which has found itself deflecting would-be conquerors time and again. Despite his illegitimate birth and lowborn origins, Georges carved out a semblance of order for his Parisian Republic and proved to be a ruthless yet capable leader. Paris is once again surrounded by enemies on all sides, and Georges must bring forth all that the Republic has to muster if he is to keep the Jacobin dream alive.;;;;;;;;;;;;;x

ERA_CHAR_NAME_1861061;Gionna Agnesi;;;;;;;;;;;;;x
ERA_CHAR_INFO_1861061;King Francesco of Lumbardia has been murdered on the orders of the Doge of Venice, and now Francesco's widow Gionna sits on the Lumbardian throne. In the ever-shifting tide of schemes and ambitions that have long shaped Italian politicss, Gionna intends to bring fire and fury upon the Venetians for what they took from her. Northern Italy is bracing for a bloodbath, and such a spark may be what's needed for Lumbardia to assert dominance across the Peninsula.;;;;;;;;;;;;;x
