###ÄNSI
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

#Pirate Buildings
fp_pirate_harbor_1;Pirate Cove;;;;;;;;;;;;;x
fp_pirate_harbor_1_desc;As your band of merry misfits gather strength, you have developed a secret pirate cove where your crew and spoils can reside in secluded comfort, hidden from the prying eyes of those wishing to reclaim their lost booty.;;;;;;;;;;;;;x

fp_pirate_harbor_2;Pirate Den;;;;;;;;;;;;;x
fp_pirate_harbor_2_desc;With the pirates gaining infamy among the lords and ladies of distant lands, your small cove has grown to become a bustling den of piratical industry. This community serves as a refuge for the outlaws of polite society, who flock to your banner for protection and profit.;;;;;;;;;;;;;x

fp_pirate_harbor_3;Pirate Haven;;;;;;;;;;;;;x
fp_pirate_harbor_3_desc;An established pirate base outside the jurisdiction of kings and emperors, this place is known on every shore as a safe haven for those wishing to share in the glory and plunder.;;;;;;;;;;;;;x

fp_pirate_supply_depot_1;Stockpile;;;;;;;;;;;;;x
fp_pirate_supply_depot_1_desc;You have prepared a surplus of supplies devoted to supporting the adventures you will have in the high seas. Just having a good amount of timber and tools on hand does wonders for keeping ships in the water, and making sure the crew always have enough food and drink keeps desertions at a minimum.;;;;;;;;;;;;;x

fp_pirate_supply_depot_2;Craftworks;;;;;;;;;;;;;x
fp_pirate_supply_depot_2_desc;After acquiring enough basic goods to support your operations, the next step is to develop the more specialised aspects of logistics. Without recruiting and training a whole cadre of carpenters, smiths, quartermasters and shipwrights, your ships will rot on the beach and your crews sit idle.;;;;;;;;;;;;;x

fp_pirate_supply_depot_3;Supply Depot;;;;;;;;;;;;;x
fp_pirate_supply_depot_3_desc;After years of effort, you have built a base of logistics that will support your fleets as they maraud across the sea lanes, bring about other's misfortunes, and profit mightily from the experience.;;;;;;;;;;;;;x

fp_pirate_spy_network_1;Informant Outpost;;;;;;;;;;;;;x
fp_pirate_spy_network_1_desc;As you seek to learn more about the world beyond your immediate domain, your informants begin to infiltrate the harbors of rich merchants and lords.;;;;;;;;;;;;;x

fp_pirate_spy_network_2;Intelligence Network;;;;;;;;;;;;;x
