###########Cultures###########
abkhazian;Apswaa;;;;;;;;;;;;;x
afar;Qafár;;;;;;;;;;;;;x
akhdam;Akhdam;;;;;;;;;;;;;x
akmolensk;Akmolensk;;;;;;;;;;;;;x
albanian;Shqip;;;;;;;;;;;;;x
albanian_group;Albanian;;;;;;;;;;;;;x
algerian;Jazairi;;;;;;;;;;;;;x
alsatian;Elsässer;;;;;;;;;;;;;x
altay;Altai;;;;;;;;;;;;;x
amazigh;Amazigh;;;;;;;;;;;;;x
amazonense;Amazonico;;;;;;;;;;;;;x
amdowa;Amdowa;;;;;;;;;;;;;x
american;American;;;;;;;;;;;;;x
americano;Americano;;;;;;;;;;;;;x
amhara;Amhara;;;;;;;;;;;;;x
andalusian;Andaluz;;;;;;;;;;;;;x
antillais;Antillais;;;;;;;;;;;;;x
arabic;Arabic;;;;;;;;;;;;;x
aragonese;Aragonés;;;;;;;;;;;;;x
armenian;Hay;;;;;;;;;;;;;x
aromanian;Armãnji;;;;;;;;;;;;;x
arpitan;Arpetan;;;;;;;;;;;;;x
asian;Asian;;;;;;;;;;;;;x
assyrian;Suraye;;;;;;;;;;;;;x
asturleonese;Asturlleonés;;;;;;;;;;;;;x
atlas;Izayyan;;;;;;;;;;;;;x
austrian;Österreicher;;;;;;;;;;;;;x
avar;Awar;;;;;;;;;;;;;x
awadhi;Avadhi;;;;;;;;;;;;;x
azeri;Azäri;;;;;;;;;;;;;x
azorean;Açoriano;;;;;;;;;;;;;x
badawi;Badawi;;;;;;;;;;;;;x
bagheli;Bagheli;;;;;;;;;;;;;x
bagri;Bagri;;;;;;;;;;;;;x
bahrayni;Khaliji;;;;;;;;;;;;;x
baloch;Balòc;;;;;;;;;;;;;x
balti;Balti;;;;;;;;;;;;;x
banjara;Banjara;;;;;;;;;;;;;x
bashkir;Basqorttar;;;;;;;;;;;;;x
basque;Euskara;;;;;;;;;;;;;x
bavarian;Boarn;;;;;;;;;;;;;x
beifanghua;Beifanghuà;;;;;;;;;;;;;x
beja;Oobja;;;;;;;;;;;;;x
belarusian;Bielarusy;;;;;;;;;;;;;x
benelux;Benelux;;;;;;;;;;;;;x
bengali;Bengali;;;;;;;;;;;;;x
bhiji;Bhiji;;;;;;;;;;;;;x
bhili;Bhili;;;;;;;;;;;;;x
bhojpuri;Bhojpuri;;;;;;;;;;;;;x
black_sea;Karadenizli;;;;;;;;;;;;;x
boro;Boro;;;;;;;;;;;;;x
bosniak;Bošnjaci;;;;;;;;;;;;;x
brahui;Brahvi;;;;;;;;;;;;;x
braji;Braji;;;;;;;;;;;;;x
brasileiro;Brasileiro;;;;;;;;;;;;;x
brazilian;Brasileiro;;;;;;;;;;;;;x
breton;Brezhoneg;;;;;;;;;;;;;x
britannic;Britannic;;;;;;;;;;;;;x
british;British;;;;;;;;;;;;;x
brythonic;Brythoneg;;;;;;;;;;;;;x
bulgarian;Balgarski;;;;;;;;;;;;;x
bundeli;Bundeli;;;;;;;;;;;;;x
buryat;Buryat;;;;;;;;;;;;;x
cajun;Cajun;;;;;;;;;;;;;x
calo;Caló;;;;;;;;;;;;;x
canadian;Canadian;;;;;;;;;;;;;x
canarian;Canario;;;;;;;;;;;;;x
canuck;Canuck;;;;;;;;;;;;;x
caribeno;Caribeño;;;;;;;;;;;;;x
carpathian;Carpathian;;;;;;;;;;;;;x
castilian;Castellano;;;;;;;;;;;;;x
catalan;Català;;;;;;;;;;;;;x
caucasian;Caucasian;;;;;;;;;;;;;x
central_anatolian;Anadolulu;;;;;;;;;;;;;x
changpa;Changpa;;;;;;;;;;;;;x
chaoui;Icawiyen;;;;;;;;;;;;;x
chernyan;Chernyan;;;;;;;;;;;;;x
chhattisgarhi;Chhattisgarhi;;;;;;;;;;;;;x
chornomorsky;Chornomorsky;;;;;;;;;;;;;x
chti;Ch'ti;;;;;;;;;;;;;x
chuvash;Çavassem;;;;;;;;;;;;;x
circassian;Adygä;;;;;;;;;;;;;x
colombiano;Colombiano;;;;;;;;;;;;;x
cornish;Kernowyon;;;;;;;;;;;;;x
corsican;Corsu;;;;;;;;;;;;;x
crimean;Crimean;;;;;;;;;;;;;x
croatian;Hrvati;;;;;;;;;;;;;x
cushitic;Cushitic;;;;;;;;;;;;;x
czech;Czech;;;;;;;;;;;;;x
dang;Dang;;;;;;;;;;;;;x
danish;Dansker;;;;;;;;;;;;;x
dargin;Darwa;;;;;;;;;;;;;x
daur;Daur;;;;;;;;;;;;;x
deccani;Dakhani;;;;;;;;;;;;;x
dhofari;Dhofari;;;;;;;;;;;;;x
dhundari;Dhundari;;;;;;;;;;;;;x
dimasa;Dimasa;;;;;;;;;;;;;x
dixie;Dixie;;;;;;;;;;;;;x
dom;Dom;;;;;;;;;;;;;x
donskoy;Donskoy;;;;;;;;;;;;;x
dutch;Nederlander;;;;;;;;;;;;;x
dravidian_north;North Dravidian;;;;;;;;;;;;;x
dravidian_south;South Dravidian;;;;;;;;;;;;;x
eastafrican;East African;;;;;;;;;;;;;x
eastern_berber;Išerqiyen;;;;;;;;;;;;;x
egyptian;Egyptian;;;;;;;;;;;;;x
estonian;Eesti;;;;;;;;;;;;;x
faroese;Føroyingur;;;;;;;;;;;;;x
fennoswede;Fennoswede;;;;;;;;;;;;;x
finnish;Suomi;;;;;;;;;;;;;x
filastini;Filastini;;;;;;;;;;;;;x
finnic;Finnic;;;;;;;;;;;;;x
flemish;Vlaams;;;;;;;;;;;;;x
francarabe;Rebeu;;;;;;;;;;;;;x
french;French;;;;;;;;;;;;;x
frisian;Friezen;;;;;;;;;;;;;x
friulian;Furlan;;;;;;;;;;;;;x
furataini;Furataini;;;;;;;;;;;;;x
gagauz;Gagauz;;;;;;;;;;;;;x
galician;Galego;;;;;;;;;;;;;x
gallo;Galo;;;;;;;;;;;;;x
gan;Kan;;;;;;;;;;;;;x
garo;A·chik Mande;;;;;;;;;;;;;x
gascon;Gascon;;;;;;;;;;;;;x
georgian;Kartveli;;;;;;;;;;;;;x
gilaki;Giläki;;;;;;;;;;;;;x
gondi;Koitur;;;;;;;;;;;;;x
goral;Goral;;;;;;;;;;;;;x
gorani;Goranî;;;;;;;;;;;;;x
gotalander;Götalänning;;;;;;;;;;;;;x
greek;Ellinikí;;;;;;;;;;;;;x
guinensi;Guinensi;;;;;;;;;;;;;x
gujarati;Gujarati;;;;;;;;;;;;;x
habesha;Habesha;;;;;;;;;;;;;x
hadhrami;Hadhrami;;;;;;;;;;;;;x
hadoti;Hadoti;;;;;;;;;;;;;x
hakka;Hakka;;;;;;;;;;;;;x
halychian;Halychian;;;;;;;;;;;;;x
