###ÄNSI###
holding_synod;Summon a Synod;;;;;;;;;;;;;x
holding_synod_desc;As a leader of the Protestant community, you may call for priests and other members of the faith to gather together for a grand council on matters of the church.;;;;;;;;;;;;;x

EVTTITLE_synod_1;Calling the Synod;;;;;;;;;;;;;x
EVTDESC_synod_1;Calling upon the Protestant clergy to gather is a tradition that most Lutherans and Calvinists abide by as to uphold a common sense of unity and brotherhood among the Protestants of Europe. It is seen by many as a badge of pride to host one, and even more so, get something done within it.;;;;;;;;;;;;;x
EVTOPTA_synod_1;Let this be a Synod for all Protestants!;;;;;;;;;;;;;x
EVTOPTB_synod_1;Let us gather an ecumenical council for all of Christendom!;;;;;;;;;;;;;x

EVTDESC_synod_2;With the plan set in motion, for any decent Synod to occur, knowing who to invite, and how to prepare your capital for the event is imperative. Setting up housing for the clergy and where the assembly would be set up and prepared for.;;;;;;;;;;;;;x
EVTOPTA_synod_2;Come fellow brethren of faith it's time to discuss.;;;;;;;;;;;;;x
EVTDESC_synod_21;As per tradition set out by Visvaldis, the First Emperor of the Baltic, and of the Lutherans, it has been customary to provide a grand gesture to the fellow followers of Christ, since they come from so far afield, from across Europe, and on occasion, even beyond the continent. Deciding on how much to provide for the clergy of all Christendom is imperative.;;;;;;;;;;;;;x
EVTOPTA_synod_21;Come one, Come all in the name of Christ!;;;;;;;;;;;;;x

EVTTITLE_synod_5;The Synod Convenes;;;;;;;;;;;;;x
EVTDESC_synod_5;The people of the Protestant tradition have brought themselves upon the capital, from the Lutherans of Germany, Scandinavia and the Baltic, to the Calvinists from the Benelux, Scotland and Switzerland. Chatter fills the halls as everyone waits for you. As for yourself, as the head of this Synod, you have the decision upon what the Protestants must focus on.;;;;;;;;;;;;;x
EVTOPTA_synod_5;A Frank and Humble Path;;;;;;;;;;;;;x
EVTOPTA_synod_5_TT;Focusing on solving our internal disputes would be the most productive task..;;;;;;;;;;;;;x
EVTOPTB_synod_5;Build that future.;;;;;;;;;;;;;x
EVTOPTB_synod_5_TT;Continuing our path of being a united front against all who dare to defy God would be best.;;;;;;;;;;;;;x
EVTOPTC_synod_5;A Wise and Studious Path.;;;;;;;;;;;;;x
