###########Titles###########
baron_jedinstvo;Executive;;;;;;;;;;;;;x
baron_female_jedinstvo;Executive;;;;;;;;;;;;;x
barony_of_jedinstvo;Unit of;;;;;;;;;;;;;x
barony_jedinstvo;Unit;;;;;;;;;;;;;x
count_jedinstvo;Council Director;;;;;;;;;;;;;x
count_female_jedinstvo;Council Director;;;;;;;;;;;;;x
duke_jedinstvo;Collective Director;;;;;;;;;;;;;x
duke_female_jedinstvo;Collective Director;;;;;;;;;;;;;x
duchy_of_jedinstvo;Collective of;;;;;;;;;;;;;x
duchy_jedinstvo;Collective;;;;;;;;;;;;;x
king_jedinstvo;Director;;;;;;;;;;;;;x
king_female_jedinstvo;Director;;;;;;;;;;;;;x
kingdom_of_jedinstvo;Union of;;;;;;;;;;;;;x
kingdom_jedinstvo;Union;;;;;;;;;;;;;x
emperor_jedinstvo;President;;;;;;;;;;;;;x
emperor_female_jedinstvo;President;;;;;;;;;;;;;x
empire_jedinstvo;Republic;;;;;;;;;;;;;x
empire_of_jedinstvo;Republic of;;;;;;;;;;;;;x

temple_baron_jedinstvo;Sveštenik;;;;;;;;;;;;;x
temple_count_jedinstvo;Viši Sveštenik;;;;;;;;;;;;;x
temple_duke_jedinstvo;Viši Sveštenik;;;;;;;;;;;;;x
temple_barony_of_jedinstvo;Hram of;;;;;;;;;x

###########Partisan Event and Other related events###########
hero_tomb_pilgrimage;Visit the Tomb of a Hero;;;;;;;;;;;;;x
hero_tomb_pilgrimage_desc;You desire to visit a tomb of a legendary partisan...;;;;;;;;;;;;;x

jedinstvo_pilgrimage;Seek out the Spomeniks;;;;;;;;;;;;;x
jedinstvo_pilgrimage_desc;As a devout Jedinstvo, you may seek out the Spomeniks commerating ancient Partisans of old...;;;;;;;;;;;;;x

select_jedinstvo_deity;Choose your patron Partisans.;;;;;;;;;;;;;x
select_jedinstvo_deity_desc;Choose from among the Partisans and follow their examples for the community as a whole.;;;;;;;;;;;;;x

EVTDESCjedinstvo6;A Great Partisan was laid to rest in your domain...;;;;;;;;;;;;;x
TT_HERO_FAMILY;It is an honor that I am related...;;;;;;;;;;;;;x
EVTOPTAjedinstvo11_TT;You grab a handful of trinkets;;;;;;;;;;;;;x
EVTOPTBjedinstvo11_TT;You find some valuable items;;;;;;;;;;;;;x

EVTTITLEjedinstvo7;A Hero Immortalized!;;;;;;;;;;;;;x
EVTDESCjedinstvo7;[hero_person.GetDynName] lived a glorious life, truly following the example of Tito. [hero_person.GetSheHeCap] passed on [hero_person.GetDeathDate], and people have long wondered if [hero_person.GetSheHe] would be considered a hero of the Yugoslav people or not. After many worshippers graced the tomb of [hero_person.GetFirstNameWithNick], it has been popularly declared that [hero_person.GetFirstNameWithNick] as a [hero_person.Religion.GetGroupName] who has indeed been immortalized into our memories, celebrated by the people of [hero_capital.GetName] as well as by their brothers in the world as a whole.  \n\nWe can only wish to follow [hero_person.GetHerHis] example, and become worthy people in the eyes of our entire communities.;;;;;;;;;;;;;x
EVTOPTAjedinstvo7;May they rest in glorious peace.;;;;;;;;;;;;;x

EVTDESCjedinstvo8;[hero_person.PrimaryTitle.GetName] has seen a boost in the awe strucken masses who come to see the tomb of [hero_person.GetName], local merchants are seen selling emblems bearing the symbol of this prestigous hero's lineage and house. Among the crowd a bard with a lyre is seen recanting the legendary deeds of [hero_person.GetName] to a crowd of cheering people. You observe the tomb and decide what you need to do to maintain this hero's legacy.;;;;;;;;;;;;;x
EVTOPTAjedinstvo8;This Monument should befit a hero's honor!;;;;;;;;;;;;;
EVTOPTBjedinstvo8;By [hero_person.Religion.GetGroupName], I shall donate to t as well!;;;;;;;;;;;;;
EVTOPTCjedinstvo8;This hero has done us a great service, I'll make an offering...;;;;;;;;;;;;;
EVTOPTDjedinstvo8;Maybe I can pocket a bit of change. After all, they were born here...;;;;;;;;;;;;;
EVTOPTEjedinstvo8;People of the [local_burial_tomb.province_hero.GetFirstNameWithNick] lets sing their deeds!;;;;;;;;;;;;;
EVTOPTFjedinstvo8;I pray that the hero's name will be known for many generations...;;;;;;;;;;;;;

EVTDESCjedinstvo9;Inspired by [hero_person.GetName], you have tried to emulate their great deeds. Many people have already begun to speak highly of you as a potential new protege of the late hero. Whether their feats of cunning or strength, the people of [hero_person.PrimaryTitle.GetName] wonder whether the spirit of the hero emunates from you...;;;;;;;;;;;;;x
EVTOPTAjedinstvo9;May I do a fraction of their deeds...;;;;;;;;;;;;;x
EVTOPTBjedinstvo9;I can only wish to be like [hero_person.GetHerHim]...;;;;;;;;;;;;;x

EVTDESCjedinstvo10;[target_burial_site.GetName] is a well known traveling spot for people wishing to see the tomb of the Hero [target_burial_site.province_hero.GetFirstName]. I have never cared much for the hero [target_burial_site.province_hero.GetFirstName] nor [offended_burial_site_owner.GetTitledFirstName], and an opportunity to grab the valuables of the tomb has offered itself. But is it worth the risk?;;;;;;;;;;;;;x
EVTOPTAjedinstvo10;No, I rather not offend the gods...;;;;;;;;;;;;;x
EVTOPTBjedinstvo10;Perhaps I can find something of worth...;;;;;;;;;;;;;x
EVTOPTBjedinstvo10_TT;Preparations to pillage the burial site begins;;;;;;;;;;;;;x

EVTDESCjedinstvo11;Entering the tomb of [target_burial_site.GetName], I began to observe the surrounding guaging the amount of treasures I can plunder for my own gain...;;;;;;;;;;;;;x
EVTOPTAjedinstvo11;I should pick a few shinies and make haste...;;;;;;;;;;;;;x
EVTOPTBjedinstvo11;I should plunder this tomb bare!;;;;;;;;;;;;;x

EVTDESCjedinstvo12;The caretakers of the tomb have caught wind of your activities and quickly wrestle you to the ground. You curse the gods for your misfortune.;;;;;;;;;;;;;x
EVTOPTAjedinstvo12;For shame, I've been caught!;;;;;;;;;;;;;x

EVTDESCjedinstvo13;The burial site of §Y[target_burial_site.province_hero.GetFirstName]§! at [target_burial_site.GetName] has been plundered, and has been left a pile of rubble...;;;;;;;;;;;;;x

EVTDESCjedinstvo14;My men have come across the burial site of some great "hero" of the pathetic [pillaged_hellenic.Religion.GetGroupName] [pillaged_hellenic.GetTitledFirstName]. This could be a chance to show them how we treat their uncivilized ancestors.;;;;;;;;;;;;;x
EVTOPTAjedinstvo14;Take everything of value, and leave nothing behind.;;;;;;;;;;;;;x
EVTOPTBjedinstvo14;We are not petty like them, we will leave it be.;;;;;;;;;;;;;x

EVTDESCjedinstvo16;I shall venture to the tomb of a local hero on my way to the holy places! Perhaps I can learn many things from their deeds, as I learn more about the divine's role in our lives.;;;;;;;;;;;;;x
EVTOPTAjedinstvo16_1;I shall visit [first_burial_site.GetName];;;;;;;;;;;;;x
EVTOPTAjedinstvo16_2;I shall visit [first_burial_site.GetName];;;;;;;;;;;;;x
EVTOPTAjedinstvo16_3;I shall visit [first_burial_site.GetName];;;;;;;;;;;;;x

