###ÄNSI###;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
#CODE;ENGLISH;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_culture_portuguese_1;Hunting Grounds;;;;;;;;;;;;;x
ca_culture_portuguese_2;Hunting Grounds;;;;;;;;;;;;;x
ca_culture_portuguese_3;Hunting Grounds;;;;;;;;;;;;;x
ca_culture_portuguese_4;Hunting Grounds;;;;;;;;;;;;;x
ca_culture_portuguese_1_desc;Experienced hunters are often recruited into local formations of Caçadores due to their proficient at the use of the bow and arrow as well as superb quality as ambushers.;;;;;;;;;;;;;x
RETTYPE_CUL_POR;Caçadores;;;;;;;;;;;;;x
ca_culture_nortenho_1;Caretos Training Grounds;;;;;;;;;;;;;x
ca_culture_nortenho_2;Caretos Training Grounds;;;;;;;;;;;;;x
ca_culture_nortenho_3;Caretos Training Grounds;;;;;;;;;;;;;x
ca_culture_nortenho_4;Caretos Training Grounds;;;;;;;;;;;;;x
ca_culture_nortenho_1_desc;It is in those camps where the armies of northern Portugal train their 'Caretos', shock infantry formations who are often used to break the stalemate of battles and named after their use of the Caretos costume and their mask to strike fears into the hearts of their enemies.;;;;;;;;;;;;;x
RETTYPE_CUL_NORTENHO;Caretos;;;;;;;;;;;;;x
ca_culture_iberian_1;Campamento Legionario;;;;;;;;;;;;;x
ca_culture_iberian_2;Campamento Legionario;;;;;;;;;;;;;x
ca_culture_iberian_3;Campamento Legionario;;;;;;;;;;;;;x
ca_culture_iberian_4;Campamento Legionario;;;;;;;;;;;;;x
ca_culture_iberian_1_desc;It is in those camps where the armies of Iberia train their 'Rodeleros', shock infantry formations who are often used to break the stalemate of battles and named after their use of the Rodela shield.;;;;;;;;;;;;;x
RETTYPE_CUL_HISP;Rodeleros;;;;;;;;;;;;;x
ca_culture_andalusia_1;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusia_2;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusia_3;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusia_4;Escuela del Arte Ecuestre;;;;;;;;;;;;;x
ca_culture_andalusia_1_desc;Andalusian horses are renowed all over the world as some of the best cavalry in the world, a fact which doesn't go unnoticed by Andalusians nobles, who take their sons young age to the equestrian schools where they learn from a young age the art of riding those formidable horses.;;;;;;;;;;;;;x
RETTYPE_CUL_ANDALUSIAN;Caballos del Rey;;;;;;;;;;;;;x
ca_culture_alentejano_1;Equestrian Riding Ground;;;;;;;;;;;;;x
ca_culture_alentejano_2;Equestrian Riding Ground;;;;;;;;;;;;;x
ca_culture_alentejano_3;Equestrian Riding Ground;;;;;;;;;;;;;x
ca_culture_alentejano_4;Equestrian Riding Ground;;;;;;;;;;;;;x
ca_culture_alentejano_1_desc;Similar to their Andalusian neighbors, the Alentejanos have adapted to fighting on horsebacks by harassing and flanking the enemies and then feigning retreats.;;;;;;;;;;;;;x
RETTYPE_CUL_ALENTEJANO;Cavaleiros;;;;;;;;;;;;;x
ca_culture_french_1;Baraquements de Sapeurs;;;;;;;;;;;;;x
ca_culture_french_2;Baraquements de Sapeurs;;;;;;;;;;;;;x
ca_culture_french_3;Baraquements de Sapeurs;;;;;;;;;;;;;x
ca_culture_french_4;Baraquements de Sapeurs;;;;;;;;;;;;;x
ca_culture_french_1_desc;Heavily armed with battle axes and armoured with plumed helmets, the Sapeurs de la Garde specialize in military engineering and underground combat, though they can also serve as an elite corps of provisional infantry.;;;;;;;;;;;;;x
RETTYPE_CUL_SAPEURS;Sapeurs de la Garde;;;;;;;;;;;;;x
ca_culture_breton_1;Breton Warriors' Shipyard;;;;;;;;;;;;;x
ca_culture_breton_2;Breton Warriors' Shipyard;;;;;;;;;;;;;x
ca_culture_breton_3;Breton Warriors' Shipyard;;;;;;;;;;;;;x
ca_culture_breton_4;Breton Warriors' Shipyard;;;;;;;;;;;;;x
ca_culture_breton_1_desc;Skilled sailors and consummate ambushers, the mariners of Brittany's coasts are as fearless on land as on sea. Whether it is a quick strike on an undefended target or a more protacted battle, they shall respond to the call. Kentoc'h mervel!;;;;;;;;;;;;;x
RETTYPE_CUL_BRETON;Breton Mariners;;;;;;;;;;;;;x
ca_culture_welsh_1;Trainband Range;;;;;;;;;;;;;x
ca_culture_welsh_2;Trainband Range;;;;;;;;;;;;;x
ca_culture_welsh_3;Trainband Range;;;;;;;;;;;;;x
ca_culture_welsh_4;Trainband Range;;;;;;;;;;;;;x
ca_culture_welsh_1_desc;These isolated camps, usually in the forest, provide the perfect locale for the lifeblood of Welsh and Cornish sovereignty, where they could train, produce weaponry for their militia and learn to live off the land, away from the prying eyes of lords and kings, be they foreign or domestic.;;;;;;;;;;;;;x
RETTYPE_CUL_WELSH;Longbowmen;;;;;;;;;;;;;x
ca_culture_billmen_1;Billmen Leaguers;;;;;;;;;;;;;x
ca_culture_billmen_2;Billmen Leaguers;;;;;;;;;;;;;x
ca_culture_billmen_3;Billmen Leaguers;;;;;;;;;;;;;x
ca_culture_billmen_4;Billmen Leaguers;;;;;;;;;;;;;x
ca_culture_billmen_1_desc;Albeit Leagues were once spoken of a sport that caused peasants to go mad and cause immense damage, these Leaguers are war camps established by British lords to hone and prepare men who would use the halberd-like weaponry to wild success against both raiders from the rest of the Isles and foreign conquerors who dared to enter a struggle against Queen and Country.;;;;;;;;;;;;;x
