gov_russian_empire;Third Roman Empire;;;;;;;;;;;;;x
gov_russian_moskva;Russian Autocracy;;;;;;;;;;;;;x
gov_russian_administration;Russian Local Administration;;;;;;;;;;;;;x
tsardom_government_baron;Oberwachtmeister;;;;;;;;;;;;;x
tsardom_government_baron_female;Oberwachtmeister;;;;;;;;;;;;;x
tsardom_government_barony_of;Citadel of;;;;;;;;;;;;;x
tsardom_government_barony;Citadel;;;;;;;;;;;;;x
tsardom_government_count;Goveror;;;;;;;;;;;;;x
tsardom_government_count_female;Goveror;;;;;;;;;;;;;x
tsardom_government_county_of;Governorate of;;;;;;;;;;;;;x
tsardom_government_county;Governorate;;;;;;;;;;;;;x
tsardom_government_duke;Duke;;;;;;;;;;;;;x
tsardom_government_duke_female;Duchess;;;;;;;;;;;;;x
tsardom_government_duchy_of;Duchy of;;;;;;;;;;;;;x
tsardom_government_duchy;Duchy;;;;;;;;;;;;;x
tsardom_government_king;Grand Prince;;;;;;;;;;;;;x
tsardom_government_king_female;Grand Prince;;;;;;;;;;;;;x
tsardom_government_kingdom_of;Grand Duchy of;;;;;;;;;;;;;x
tsardom_government_kingdom;Grand Duchy;;;;;;;;;;;;;x
tsardom_government_emperor;Tsar;;;;;;;;;;;;;x
tsardom_government_emperor_female;Tsarina;;;;;;;;;;;;;x
tsardom_government_empire_of;Tsardom of;;;;;;;;;;;;;x
tsardom_government_empire;Tsardom;;;;;;;;;;;;;x
TSAR;Tsar;;;;;;;;;;;;;x
TSAR_FEMALE;Tsarina;;;;;;;;;;;;;x
