###ÄNSI###
celebrate_martyr_day;Celebrate Martyrs Day;;;;;;;;;;;;;x
celebrate_martyr_day_desc;Commemorate those who laid down their lives for an-Nahda…;;;;;;;;;;;;;x

EVTDESC_ARAB_1;Long ago, several brave men rose up against their oppressors in the name of an-Nahar, for an-Nahda. Al Jazzar saw this as an act against the wicked Sublime Porte and executed them for all to see in Beirut and Damascus to strike terror into the hearts of the people. As such, you will celebrate the lives of these martyrs in your local plaza.;;;;;;;;;;;;;x
EVTOPTA_ARAB_1;Restore what was lost!;;;;;;;;;;;;;x

EVTDESC_ARAB_2;In preparation for Martyrs Day, you visit the market to obtain things to assist in your celebration of the holiday. You come across a beautiful wreath of flowers, but there are other options.;;;;;;;;;;;;;x
EVTOPTA_ARAB_2;I will buy flowers.;;;;;;;;;;;;;x
EVTOPTB_ARAB_2;I will bring more mourners.;;;;;;;;;;;;;x
EVTOPTC_ARAB_2;I have no time for trinkets or sobbing women.;;;;;;;;;;;;;x

EVT_TITLE_ARAB_3;Martyrs Day;;;;;;;;;;;;;x
EVTDESC_ARAB_3;The celebration of Martyrs Day has occurred since the martyrdom took place, where Al Jazzar executed a dozen patriots by hanging in both Beirut and Damascus. The holiday begins by a march of mounted nobles and soldiers through the streets towards the plaza, with streets flanked by cheering people. As the procession reaches the plaza, the people quiet down and you, the leader of the procession, announces a moment of silence. The entire plaza observes the moment of silence until a trumpet blares and the procession lays down many wreaths of flowers in remembrance of the many martyrs. After the procession finishes, the common people come and lay down their own flowers.;;;;;;;;;;;;;x
EVTOPTA_ARAB_3;The precious blood of martyrs paid for this.;;;;;;;;;;;;;x
