###ÄNSI###;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
EVTDESC_LIPKA_3110;My [my_child.GetSonDaughter], [my_child.GetTitledFirstName], has decided to enlist with the Lipka Guard in Riga and seek [my_child.GetHerHis] fortune there! Although [my_child.GetSheHe] will no doubt gain both riches and valuable battle experience in service of the Baltic [baltic_emperor_or_empress.GetEmperorEmpress], there will be many perils that could well cost [my_child.GetHerHim] [my_child.GetHerHis] life.;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3110;I will not allow it!;;;;;;;;;;;;;x
EVTOPTB_LIPKA_3110;Go to Riga and make me proud, [my_child.GetSonDaughter].;;;;;;;;;;;;;x
EVTDESC_LIPKA_3112;"A grizzled old warrior having just returned from the Baltic arrived with a message from [From.GetTitledFirstName] today. Though [From.GetSheHe] has left the Lipka Guard, my [From.GetSonDaughter] has apparently found [From.GetHerselfHimself] a Baltic [From.GetHusbandWifeOpp] and decided to remain by the shores of the Baltic and build a new life there. ""It is doubtful we will ever see [From.GetHerHim] again, my [Root.GetLordLady].""";;;;;;;;;;;;;x
EVTOPTA_LIPKA_3112;My [From.GetBoyGirl]...;;;;;;;;;;;;;x
EVTDESC_LIPKA_3113;After finishing [From.GetHerHis] service with the Lipka Guard, [From.GetTitledFirstName] has married a local [From.GetManWomanOpp] and decided to remain in Constantinople instead of returning home to the steppe wasteland [From.GetSheHe] once came from. [From.GetSheHeCap] has pledged [From.GetHerHis] continued service to me.;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3113;Very well.;;;;;;;;;;;;;x
EVTDESC_LIPKA_3115;A heavily scarred warrior clad in strange armor approaches my throne, and before [From.GetSheHe] can be disarmed, the stranger relieves my guard of their spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but I raise my hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from the Baltic!;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3115;[From.GetFirstName]! You've... changed!;;;;;;;;;;;;;x
EVTDESC_LIPKA_3117;My [From.GetSonDaughter], [From.GetTitledFirstName], has finally returned home from the Baltic and [From.GetHerHis] service with the Lipka Guard! Although I can't quite put my finger on it, [From.GetSheHe] seems different somehow... and what is this strange military camaraderie he speaks of?;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3117;No matter, I'm just glad [From.GetSheHe] made it home!;;;;;;;;;;;;;x
EVTDESC_LIPKA_3119;A fat, drunk [From.GetManWoman] is led into my throne room, and the guards explain that [From.GetSheHe] just arrived with a caravan coming from Miklagård. The [From.GetManWoman] would speak my name over and over again while inebriated, and so [From.GetSheHe] was brought to me. To my horror, I recognize [From.GetHerHim] at last as [From.GetTitledFirstName]!;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3119;[From.GetFirstName], you disappoint me.;;;;;;;;;;;;;x
EVTDESC_LIPKA_3121;[From.GetTitledFirstName] has finally returned home after a long and successful career in the Lipka Guard! [From.GetSheHeCap] fought in several battles, and learned much from the clever strategies and tactics favored by both the lords of the Baltic and their enemies in Europe.;;;;;;;;;;;;;x
EVTOPTA_LIPKA_3121;Tell me of your battles, [From.GetFirstName]...;;;;;;;;;;;;;x
