#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
count_proletcult;Commissar;;;;;;;;;;;;;x
count_female_proletcult;Commissar;;;;;;;;;;;;;x
duke_proletcult;High Commissar;;;;;;;;;;;;;x
duke_female_proletcult;High Commissar;;;;;;;;;;;;x;
duchy_of_proletcult;High Commissariate of;;;;;;;;;;;;x;
king_proletcult;Commissar-General;;;;;;;;;;;;;x
king_female_proletcult;Commissar-General;;;;;;;;;;;;;x
emperor_proletcult;Secretary-General;;;;;;;;;;;;;x
emperor_female_proletcult;Secretary-General;;;;;;;;;;;;;x

county_of_proletcult;Commune of;;;;;;;;;;;;;x
duchy_of_proletcult;Commissariate of;;;;;;;;;;;;;x
kingdom_of_proletcult;District of;;;;;;;;;;;;;x
empire_of_proletcult;Union of;Union of;Union of;;Union of;;;;;;;;;x

job_spiritual_proletcult;Partorg;;;;;;;;;x
job_spymaster_proletcult;Politruk;;;;;;;;;x

gov_communal;Soviet;;;;;;;;;x

count_leveller;Leader;;;;;;;;;;;;;x
count_female_leveller;Leader;;;;;;;;;;;;;x
county_of_leveller;County of;;;;;;;;;;;;;x
duke_leveller;Chief;;;;;;;;;;;;;x
duke_female_leveller;Chieftess;;;;;;;;;;;;x
duchy_of_leveller;Duchy of;;;;;;;;;;;;x
king_leveller;President;;;;;;;;;;;;;x
king_female_leveller;President;;;;;;;;;;;;;x
kingdom_of_leveller;Republic of;;;;;;;;;;;;;x

captaincy_mobilization;Popular Mobilization;;;;;;;;;;;;;x
captaincy_mobilization_desc;These laws represent the level of militarization of the commune and of the establishment that controls it, representing the extent of its bureaucracy dedicated for war.;;;;;;;;;;;;;x
captaincy_mobilization_0;Pacific;;;;;;;;;;;;;x
captaincy_mobilization_0_desc;This realm keeps its leaders are restricted, and the leaders are mostly dedicated to internal realm management and tax collection.;;;;;;;;;;;;;x
captaincy_mobilization_1;Versatile;;;;;;;;;;;;;x
captaincy_mobilization_1_desc;This realm is adaptive, and some liberties have been granted to its leaders in the case of warfare.;;;;;;;;;;;;;x
captaincy_mobilization_2;Mobilized;;;;;;;;;;;;;x
captaincy_mobilization_2_desc;This realm is mobilized for warfare, the communal management ensuring the functioning of the state is directing a good amount of resources towards the military.;;;;;;;;;;;;;x
captaincy_mobilization_3;Militarized;;;;;;;;;;;;;x
captaincy_mobilization_3_desc;This realm is fully militarized, leaders of it have ample liberties to operate and collect from areas, focusing mostly on the maintenance of a powerful military force. ;;;;;;;;;;;;;x

religion_feature_communal;The Way of Communism;;;;;;;;;;;;;x
religion_feature_communal_desc;Private property, contrary to the beliefs of earthly people, is not a blessing but a curse and the source of greed. It's time we understood this and made everything common, in accordance with human nature.;;;;;;;;;;;;;x
tooltip_religion_feature_communal;Followers of the reformed religion will have communal government.;;;;;;;;;;;;;x
