###ÄNSI###
celebrate_pokrov;Celebrate Pokrov;;;;;;;;;;;;;x
celebrate_pokrov_desc;Beseech Holy Protection through Her intercessions...;;;;;;;;;;;;;x

EVTDESC_COSSACK_1;In the olden days, the apparition of the Theotokos ascended to Earth in Tsargrad, where she knelt and prayed with tears for the protection of all the faithful in the world. The heavenly patroness has extended her cloak over the hosts, and we will appeal to Pokrov on her feast day. ;;;;;;;;;;;;;x
EVTOPTA_COSSACK_1;Our Lady...;;;;;;;;;;;;;x

EVTDESC_COSSACK_2;The holiday begins with an all-night vigil, where many nobles and commoners have gathered together in preparation for the Great Feast. ;;;;;;;;;;;;;x
EVTOPTA_COSSACK_2;Sub tuum praesidium.;;;;;;;;;;;;;x
EVTOPTB_COSSACK_2;Let the feast begin!;;;;;;;;;;;;;x

EVT_TITLE_COSSACK_3;Pokrov;;;;;;;;;;;;;x
EVTDESC_COSSACK_3;At the beginning of the feast, the icon of the Theotokos is brought and paraded before the people, then the feast begins. All come together for the coming day of feasting, where everyone gathers to eat good food and appreciate the protection of the Theotokos. Songs are sung and much merriment is had, with stories of the Cossacks of old being exchanged by the old men. The feast day ends with everyone lumbering back home, full and comfortable feeling the protection of the Theotokos.;;;;;;;;;;;;;x
EVTOPTA_COSSACK_3;Until next year.;;;;;;;;;;;;;x
