###ÄNSI###

khan_title_1;Searching for the Khan;;;;;;;;;;;;;x
khan_desc_1;Rumors abound the Great Khan mortal body rests somewhere in the homelands for which he rode out from. Some say that time has since eroded the Khan's resting place pointing to records indicating that he wish to pass on modestly in the companionship of those closest to him. Regardless some hold that a splendid tomb much like his ancestors may still rise somewhere in the steppes.;;;;;;;;;;;;;x
EVTOPTA_khan_1;Let Pursuit begin!;;;;;;;;;;;;;x
TT_EVTOPTAHF1;§YBegin the search for Tomb of The Khan§!;;;;;;;;;;;;;x
EVTOPTB_khan_1;A nice story.;;;;;;;;;;;;;x
khan_title_2;The Great Khan's Final Abode?;;;;;;;;;;;;;x
khan_desc_2A;Many Faithful believe that the mortal body of the Khan was rested on an unmarked grave on his request. Upon fufilling that request many saw visions of the Khan ride across the Night Sky in the eyes of both the Boddhisatvas and the Guardians Yakshas that hold the Heavens under the hoofing horde of his divine host. The Scholars and Explorers versed in the knowledge of the Old Scripts believe they might have a solution to where his grave might be.;;;;;;;;;;;;;x
khan_desc_2B;Many folks believe that the mortal body of the Khan rests somewhere in the steppes for which he had rode forth to conquer much of the known world in his divine but terrifying horde. The Great Scholars and Explorers of the East versed in the knowledge of the Old Scripts believe they might have come across an answer to where the Great Khan lay resting.;;;;;;;;;;;;;x
khan_title_5;The Great Khan's Grave Discovered!;;;;;;;;;;;;;x
khan_desc_5;Many months of travel and many sleepless nights you and your host come across the peaks of the Khenti Mountains on a tip of a local diviner who recant the tales of the Khan's Final days, surely an auspicous sign. As one recalls the tales of his final resting place being on the peaks of Burkhan Khaldun and now in front of you as your men dig you come face to face with a skeleton of a man staring at you. Could it be whom you were looking for?;;;;;;;;;;;;;x
EVTOPTA_khan_5;IT MUST BE THE KHAN!;;;;;;;;;;;;;x
EVTOPTB_khan_5;Are the Legends True?;;;;;;;;;;;;;x
EVTOPTC_khan_5;Maybe my eyes decieve me?;;;;;;;;;;;;;x
EVTOPTD_khan_5;We should temper expectations...;;;;;;;;;;;;;x
khan_title_9;Undeniable Proof;;;;;;;;;;;;;x
khan_desc_9;After closer examination and analysis of the additional burial goods it has been proven without a shadow of a doubt that this body once housed the fire of the Great Khan himself. Your people stand before you in awe at the discovery. As the religious attendants carefully dress the remains many have turned to you as an avatar of the Great Khan himself... You stand there beaming...;;;;;;;;;;;;;x
EVTOPTAHF9;The Eternal Flame of the Khan lives through me!;;;;;;;;;;;;;x
