###ÄNSI###

choose_liturginen_branch;Choose a theological school;;;;;;;;;;;;;x
choose_liturginen_branch_desc;In the liturginen faith, there are two theological schools: St. Michael Agricola and St. Bridget of Sweden. Both schools named as patrons two important figures in the history of Scandinavian Christianity: a Catholic nun and a Protestant translator. Both also represent different views on ecclesiastical and theological issues. Each member of the Liturginen Church must choose between the two, as this determines the type of religious practice they choose.;;;;;;;;;;;;;x
EVTDESC_liturginen_1;In the liturginen faith, there are two theological schools: St. Michael Agricola and St. Bridget of Sweden. Both schools named as patrons two important figures in the history of Scandinavian Christianity: a Catholic nun and a Protestant translator. Both also represent different views on ecclesiastical and theological issues. Each member of the Liturginen Church must choose between the two, as this determines the type of religious practice they choose.;;;;;;;;;;;;;x
EVTOPTA_liturginen_1;Be a student of St.Briget's School;;;;;;;;;;;;;x
EVTOPTB_liturginen_1;Be a member of the community of all Protestants;;;;;;;;;;;;;x
organise_summer_services;Organise Summer Services;;;;;;;;;;;;;x
organise_summer_services_desc;Summer Services are annual gatherings of Laestedians held in the summer and lasting four days. During these four days, Laestedians participate in numerous sermons and sing devotional hymns and songs. Organising such a gathering is a unique opportunity to demonstrate one's piety and faith in the message of Reverend Lars Levi Laestadius.;;;;;;;;;;;;;x
EVTDESC_finland_2;Summer Services are the annual Laestedian gatherings, held in the summer and lasting four days. It's a massive celebration that brings together many people committed to the teachings of Laestedianism. As the organizer, you have the enormous task of keeping this gathering running smoothly.;;;;;;;;;;;;;x
EVTOPTA_finland_2;Send Out The Invitations!;;;;;;;;;;;;;x
EVTTOOLTIP_finland_2;[ROOT.GetName] is invited.;;;;;;;;;;;;;x
summer_services_invitations_sent;Invite all the [laestedianist.GetName] vassals in your realm;;;;;;;;;;;;;x
EVTDESC_finland_3;Dear [ROOT.GetName], you are hereby solemnly invited to Summer Services organised by me to gather all christians as me and you.;;;;;;;;;;;;;x
EVTOPTA_finland_3;By [ROOT.Religion.GetRandomGodName], I will make sure to attend!;;;;;;;;;;;;;x
EVTOPTB_finland_3;I do not have the time for such ridiculous meetings.;;;;;;;;;;;;;x
EVTDESC_finland_4;[FROM.GetName] has refused my invitation to Summer Services, what a disgrace!;;;;;;;;;;;;;x
EVTOPTA_finland_4;Curses!;;;;;;;;;;;;;x
EVTNAME_finland_5;Beggining of Summer Services;;;;;;;;;;;;;x
EVTDESC_finland_5;Summer Services are just beginning. A large field is filled with tents, most of them belonging to your fellow believers: ordinary people and pastors alike. Both likely have their own tasks: the ordinary people will praise God with song, and the pastors with teaching. You take up your tent, and as you unpack your belongings, you can hear the people singing loudly, singing devotional songs. Four days of sermons, prayers, songs, and debates lie ahead.;;;;;;;;;;;;;x
EVTOPTA_finland_5;Nice;;;;;;;;;;;;;x
EVTDESC_finland_6;Summer Services are over and you return to your estate after celebrating this holiday, satisfied that you were able to pay a tribute to God.;;;;;;;;;;;;;x
EVTOPTA_finland_6;Nice;;;;;;;;;;;;;x
EVTDESC_finland_7;Summer Services are over and you return to your estate and your duties after your organised it, satisfied that you were able to pay a tribute to God.;;;;;;;;;;;;;x
EVTOPTA_finland_7;Nice;;;;;;;;;;;;;x
EVTDESC_finland_8;On the first day, a service takes place. You and other worshippers stand before the pastor, who delivers a spontaneous sermon based on a Bible reading. Then, there's singing and confession of sins. Each person confesses their sins to the other, who says, "Believe your sins forgiven in Jesus' name and shed blood." After the service, you disperse to your tents, and the younger ones attend an additional presentation organized for the younger ones by the pastors.;;;;;;;;;;;;;x
EVTOPTA_finland_8;Okay;;;;;;;;;;;;;x
EVTDESC_finland_9;On the first day, a service takes place. You and other worshipers stand before the pastor, who delivers a spontaneous sermon based on a Bible passage. Then, there's singing and a confession of sins. Each person confesses their sins to the other, who says, "Believe your sins forgiven in Jesus's name and shed blood." After the service, a special presentation is organized for young people, such as young adults. The pastors show you various scenes from the Bible (and beyond) in pictures, explaining them in simpler language.;;;;;;;;;;;;;x
EVTOPTA_finland_9;Nice;;;;;;;;;;;;;x
EVTOPTB_finland_9;Boring;;;;;;;;;;;;;x
