#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;
jacobin_government;Republican Bureaucracy;;;;;;;;;;;x
jacobin_government_desc;The system of republican bureaucracy perpetuated by the Jacobins stems from the legacy of the pre-Event French Republic, which, as a unitary state, was divided into a series of administrative units: regions, departments, arrondissements, cantons, and communes. This system of government is characterized by a strict hierarchy at each administrative level and a lack of strict division between nobility and peasantry.;;;;;;;;;;;x
k_jacobin;French Presidency;;;;;;;;;;;x
PRESIDENT;President;;;;;;;;;;;x
gov_jacobin;Republican Administration;;;;;;;;;;;x
constitutionalist;Gallican;;;;;;;;;;;x
constitutionalist_DESC;The origins of the Gallican Church date back to the time before the Event, when French priests and bishops developed a belief that national customs were above universal canon law, and that the pope had a ruling voice only in matters of faith and morals, not in disciplinary matters. After the rise of Jacobinism, most Gallicans supported the Revolution. Although Gallicanism declined centuries before the Event, it was revived after the Event when the last bishop of Orleans, in communion with Rome and in agreement with the Jacobins, declared himself pope of a new, licensed church operating in Jacobin-controlled countries. Today, the Gallicans still maintain the supremacy of the council over the pope and express full support for the Jacobins' postulates.;;;;;;;;;;;x
d_constitutionalist;Gallican Papacy;;;;;;;;;;;x
WAR_NAME_JACOBIN_PRESIDENCY_WAR;War for Presidency;;;;;;;;;;;x
jacobin_presidency_war;War for Presidency;;;;;;;;;;;x
CB_NAME_JACOBIN_PRESIDENCY_WAR;War for Presidency;;;;;;;;;;;x
WAR_NAME_JACOBIN_PRESIDENCY_WAR;War for Presidency;;;;;;;;;;;x
jacobin_presidency_war_desc;The French president is weak, and his weakness demonstrates his inability to realize the ideals of liberty, equality, and fraternity. And if he is unable to realize these ideals, then he is a public enemy, an enemy of the revolution.;;;;;;;;;;;x
JACOBIN_PRESIDENCY_VICTORY_TT;You become the new President of France, and your predecessor ends up on the guillotine.;;;;;;;;;;;x
