#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
e_sanctum_imperium;Sanctum Imperium Romanum;;;;;;;;;;;x
IMPERATOR;Imperator;;;;;;;;;;;x
IMPERATOR_FEMALE;Imperatora;;;;;;;;;;;x
italian_bureaucratic_government;Roman Bureaucracy;;;;;;;;;;;x
italian_bureaucratic_government_desc;The system of government in the Sanctum Imperium Romanum is based on a semi-feudal structure of society and the decisive role of the magistrates in enforcing the laws passed by the Emperor and the Senate.;;;;;;;;;;;x
count_italian_bureaucratic_government;Subprefect;;;;;;;;;;;;;x
count_female_italian_bureaucratic_government;Subprefecta;;;;;;;;;;;;;x
county_us_italian_bureaucratic_government;Subprefecture;;;;;;;;;;;;;x
county_of_italian_bureaucratic_government;Subprefecture of;;;;;;;;;;;;;x
duke_us_army_government;Prefect;;;;;;;;;;;;;x
duke_female_us_army_government;Prefecta;;;;;;;;;;;;;x
duchy_us_army_government;Prefecture;;;;;;;;;;;;;x
duchy_of_us_army_government;Prefecture of;;;;;;;;;;;;;x
gov_roman_state;Sacrum Romanum Imperium Nationis Italicae;;;;;;;;;;;;;x
gov_roman_vassal;Imperial Administration;;;;;;;;;;;;;x
k_sanctum_imperium;Sanctum Imperium Romanum;;;;;;;;;;;;;x
DEFENSOR_FIDEI;Defensor Fidei et Imperii;;;;;;;;;;;;;x
DEFENSOR_FIDEI_FEMALE;Defensor Fidei et Imperii;;;;;;;;;;;;;x
GRAND_DUKE;Grand Duke;;;;;;;;;;;;;x
GRAND_DUKE_FEMALE;Grand Duchess;;;;;;;;;;;;;x
restore_hre;Ask the Pope for the Imperial Crown;;;;;;;;;;;;;x
restore_hre_desc;The crown of the Sanctum Imperium Romanum, a mighty empire whose history dates back to the generation of the first Christian martyrs, is empty and no one wears it. You, as the unifier of part of Italy, have sufficient standing to ask the Pope, the traditional custodian of the crown, for your coronation and to establish you as Emperor of All Italians.;;;;;;;;;;;;;x
hre_unify_italy_tooltip;You must also completely control minimally two de iure kingdoms of Sanctum Imperium Romanum;;;;;;;;;;;;;x
EVTNAME_sanctum_imperium.1;Imperium Romanum renovatum...;;;;;;;;;;;;;x
EVTDESC_sanctum_imperium.1;Although it seemed that the Sanctum Imperium Romanum, the ancient empire that had existed since the time of Augustus, would never have another Emperor, today the interregnum ended. The new Emperor was solemnly crowned Roman Emperor today by the Pope in St. Peter's Basilica in Rome. The new Augustus was greeted with applause and cheers worthy of ancient emperors who returned from the wars in the East in a halo of triumph and brilliance.;;;;;;;;;;;;;x
EVTOPTA_sanctum_imperium.1;Ave Caesar Augustus;;;;;;;;;;;;;x
EVTOPTB_sanctum_imperium.1;Ave Me;;;;;;;;;;;;;x
title_senator;Senator;;;;;;;;;;;;;x
title_senator_desc;Senator;;;;;;;;;;;;;x
succ_sanctum_imperium_elective;Roman Elective;;;;;;;;;;;;;x
succ_sanctum_imperium_elective_desc;Roman Elective;;;;;;;;;;;;;x
sanctum_imperium_elective;Roman Elective;;;;;;;;;;;;;x
sanctum_imperium_elective_desc;Roman Elective;;;;;;;;;;;;;x
